[<15:52:46>]   cpu_agent: cpu: 42.86 | processes: 430
[<15:57:36>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 681.605
[<15:57:37>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 3 | hard_throughput: 655.235
[<15:57:39>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 31 | hard_throughput: 665.98
[<16:03:32>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 2 | hard_throughput: 708.809
[<16:09:23>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 1 | hard_throughput: 721.578
[<16:09:24>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 720.329
[<16:09:26>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 728.177
[<16:09:30>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 2 | hard_throughput: 718.953
[<16:09:32>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 1 | hard_throughput: 608.137
[<16:09:39>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 558.63
[<16:10:07>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 695.906
[<16:10:14>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 34 | hard_throughput: 723.94
[<16:10:16>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 7 | hard_throughput: 717.153
[<16:10:18>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 12 | hard_throughput: 718.146
[<16:10:19>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 24 | hard_throughput: 689.496
[<16:10:21>]   memory_agent: ram_total 24576 | ram: 12 | hard_volume: 4 | hard_ops: 67 | hard_throughput: 703.646
[<16:10:23>]   memory_agent: ram_total 24576 | ram: 12 | hard_volume: 4 | hard_ops: 31 | hard_throughput: 377.409
[<16:10:25>]   memory_agent: ram_total 24576 | ram: 12 | hard_volume: 4 | hard_ops: 39 | hard_throughput: 357.761
[<16:10:28>]   memory_agent: ram_total 24576 | ram: 12 | hard_volume: 4 | hard_ops: 72 | hard_throughput: 289.413
[<16:10:30>]   memory_agent: ram_total 24576 | ram: 12 | hard_volume: 4 | hard_ops: 13 | hard_throughput: 271.343
[<16:10:33>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 25 | hard_throughput: 230.552
[<16:10:35>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 256 | hard_throughput: 372.522
[<16:10:37>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 250 | hard_throughput: 719.663
[<16:10:39>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 5 | hard_throughput: 669.58
[<16:10:41>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 17 | hard_throughput: 568.741
[<16:10:43>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 16 | hard_throughput: 667.488
[<16:10:45>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 34 | hard_throughput: 639.875
[<16:10:46>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 101 | hard_throughput: 689.209
[<16:10:48>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 44 | hard_throughput: 630.433
[<16:10:50>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 6 | hard_throughput: 725.252
[<16:10:52>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 1 | hard_throughput: 713.964
[<16:11:15>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 39 | hard_throughput: 639.329
[<16:11:17>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 35 | hard_throughput: 700.954
[<16:11:18>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 7 | hard_throughput: 691.535
[<16:11:20>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 12 | hard_throughput: 723.674
[<16:11:22>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 3 | hard_throughput: 723.202
[<16:11:24>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 725.097
[<16:11:26>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 1 | hard_throughput: 720.189
[<16:11:27>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 644.533
[<16:11:29>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 13 | hard_throughput: 718.099
[<16:11:31>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 6 | hard_throughput: 627.806
[<16:11:33>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 4 | hard_throughput: 683.876
[<16:11:35>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 665.96
[<16:11:36>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 686.637
[<16:11:38>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 16 | hard_throughput: 682.82
[<16:11:40>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 3 | hard_throughput: 651.895
[<16:11:42>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 6 | hard_throughput: 693.027
[<16:11:44>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 1 | hard_throughput: 697.424
[<16:11:45>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 119 | hard_throughput: 722.993
[<16:11:47>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 11 | hard_throughput: 727.268
[<16:11:49>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 14 | hard_throughput: 724.656
[<16:11:51>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 1 | hard_throughput: 655.476
[<16:11:52>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 14 | hard_throughput: 706.586
[<16:11:54>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 7 | hard_throughput: 693.081
[<16:11:56>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 1 | hard_throughput: 724.583
[<16:11:58>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 29 | hard_throughput: 676.864
[<16:12:00>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 2 | hard_throughput: 664.66
[<16:12:02>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 19 | hard_throughput: 727.039
[<16:12:03>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 722.738
[<16:12:05>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 719.868
[<16:12:07>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 1 | hard_throughput: 709.857
[<16:12:09>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 687.232
[<16:12:11>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 694.069
[<16:12:12>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 4 | hard_throughput: 702.2
[<16:12:14>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 695.14
[<16:12:16>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 100 | hard_throughput: 698.659
[<16:12:18>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 1 | hard_throughput: 677.743
[<16:12:19>]   memory_agent: ram_total 24576 | ram: 11 | hard_volume: 4 | hard_ops: 0 | hard_throughput: 671.953
[<17:52:19>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:20>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:20>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:20>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:20>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:20>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:20>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:20>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:20>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:20>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:20>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:23>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:23>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:23>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:23>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:23>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:23>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:23>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:23>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:24>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:25>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:26>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:27>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:28>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:29>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:30>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:31>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:32>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:33>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
[<17:52:34>]   network_agent: site_connection: 1 | inet_throughput: 69.6887
